title,author,date,abstract,column,url
The Chronicle is accepting remembrances for Joel Fleishman,Remembrances,2024-09-30,"If you would like to submit a piece in honor of Fleishman, please email opinion@dukechronicle.com with your submission, your name and your Duke affiliation, if any. There is no word limit. If you would like to submit a photograph, please include it in the same email.",Opinion,https://www.dukechronicle.com/article/2024/10/093024-remembrances-joel-fleishman
Polls and prejudice,Cara Eaton,2024-09-30,"Sitting outside of the Devil’s Krafthouse, watching the debate and knowing that at least some of the members of the Duke Democrats and the Ciceronian Society worked together to make such an event happen was a sign of hope. Collaboration and amnesty between left- and right-wing students is a fine first step. I hope we can incentivize voting without the fine print of who to vote for.",Campus Voices,https://www.dukechronicle.com/article/2024/09/093024-eaton-polls-and-prejudice
I hate Duke’s sodding grass,Shambhavi Sinha,2024-09-30,Duke’s grass walks the line between fake and real — and so do its students.,Campus Voices,https://www.dukechronicle.com/article/2024/09/093024-sinha-hate-sodding-grass
We should reimagine our vending machines,Zubin Rekhi,2024-09-28,"In addition to stocking healthier non-perishable foods, vending machines should be stocked with stationary, like G2 pens, small notebooks and Texas Instrument scientific calculators; health products, including over-the-counter medication like Tylenol or allergy medicine, first-aid kits and contraception; and other miscellaneous goods like nail clippers. ",Campus Voices,https://www.dukechronicle.com/article/2024/09/092824-rehki-reimagine-vending-machines
Imagining the restorative justice crime drama,Nik Narain,2024-09-28,"With crime TV being one of the most popular genres, media has played a major role in shaping our relationship with crime and punishment, sometimes as major as the policies around criminal justice themselves. It’s certainly not my position to tell you what to watch and not watch, but perhaps this piece can offer a nuanced perspective on the dark realities of these stories that not only miseducate but perpetuate harmful ideas about crime that inevitably contributes to real-life violence.",Campus Voices,https://www.dukechronicle.com/article/2024/09/092824-narain-restorative-justice-crime-drama
Community members share remembrances for Dean Gerald Wilson,Remembrances,2024-09-27,We welcome the Duke community to send additional remembrances to The Chronicle at abigailspiller@dukechronicle.com and opinion@dukechronicle.com.,Opinion,https://www.dukechronicle.com/article/2024/09/092724-remembrances-to-gerald-wilson
Costs of college campus economic diversity to democracy? A view from an economics classroom ,Lisa Gennetian,2024-09-26,What are the varied ways that students’ worldviews are and can be shaped on college campuses? What better place to reflect on this than in a contemporary undergraduate economics classroom at Duke?,Campus Voices,https://www.dukechronicle.com/article/2024/09/092624-gennetian-economics-classroom-democracy
Embracing polyhedronism,Aaron Siegle,2024-09-26,"But instead of appreciating the humanity of those around us, we too often act like the devices that we are always on — computers.",Campus Voices,https://www.dukechronicle.com/article/2024/09/092624-siegle-embracing-polyhedronism
Comparison is the thief of joy. But why do we do it? And is there a way to avoid imposter syndrome? ,Angarag Gantogoo,2024-09-25,"Why do we compare ourselves to others? More specifically, why do we do it when it almost never makes us feel better? ",Campus Voices,https://www.dukechronicle.com/article/2024/09/092524-gantogoo-comparison-thief-of-joy
We only live once: Protecting the sanctity of life,Advikaa Anand,2024-09-25,"I am not sure when I crossed that grand precipice of wounds and injuries ceasing to serve as emblems of thrill and excitement and instead, causes of fear and worry. I look back to my childish naivete of thinking all physical consequences of my adventures were irrelevant if I had a good story to tell, and I am shocked at my obliviousness.",Campus Voices,https://www.dukechronicle.com/article/2024/09/092524-anand-only-live-once
How “free” misleads us,Anna Garziera,2024-09-24,"We tend to take for granted the things that we receive for free — when we should really be appreciating them more, because they are free. ",Campus Voices,https://www.dukechronicle.com/article/2024/09/092424-garziera-free-misleads
Leaked document outlines extreme student voting incentives,Monday Monday,2024-09-24,"In a shocking breach of multifactor authentication, a confidential document outlining the university's plans to boost student voter turnout has been leaked on X, formerly known as Twitter. The document, apparently intended for release by the University’s President via flyers in Krafthouse, explains a voting initiative Duke is implementing starting in mid-October.",Campus Voices,https://www.dukechronicle.com/article/2024/09/092424-monday-monday-extreme-voting-incentives
It’s time to accept weed ,Ethan Khorana,2024-09-24,Legalization brings safeguards for consumption and an elimination of the risk of weed being laced with illegal substances.,Campus Voices,https://www.dukechronicle.com/article/2024/09/092424-khorana-time-to-accept-weed
Dialogue and the Divine,Luke A. Powery,2024-09-23,"In genuine open dialogue and conversation, the Divine can manifest. Dialogue is not only a sociological phenomenon; it is a spiritual one. Conversation can be an invocation for the Holy. ",Campus Voices,https://www.dukechronicle.com/article/2024/09/092324-powery-dialogue-divine
"What are we, anyway?",Umang Dhingra,2024-09-23,"To be vulnerable and forgiving might be rewarded in the form of a lifelong friendship, but it ultimately means something bigger — it shows us we are capable of fostering relationships with others, things that connect us to our own humanness. ",Campus Voices,https://www.dukechronicle.com/article/2024/09/092324-dhingra-what-are-we-anyway
Overcoming addiction,Arya Krishnan,2024-09-23,Developing healthy habits enabled me to overcome addiction and find peace — and it can improve your quality of life too.,Campus Voices,https://www.dukechronicle.com/article/2024/09/092324-krishnan-overcoming-addiction
The WSJ’s new college rankings are a joke. Maybe that’s the point. ,Leo Goldberg,2024-09-20,"So, what does this all mean? The WSJ’s recent publishing is part of a larger national movement to redefine the notion of what constitutes a “good school,” shifting away from elite universities and focusing instead on other institutions.",Campus Voices,https://www.dukechronicle.com/article/2024/09/092024-goldberg-wsj-college-rankings
The cost of silence: The erosion of freedom of speech in Venezuela,Barbara Cardenas,2024-09-20,"It was a moment that could have marked a turning point for Venezuela, a victory for democracy after decades of corruption. Instead, we watched in disbelief as Maduro shamelessly declared himself the winner, manipulating the results and disregarding the people's will.",Campus Voices,https://www.dukechronicle.com/article/2024/09/092024-cardenas-cost-of-silence
"New to the game? No experience, no problem",Valentina Garbelotto,2024-09-19,Club soccer pushed me out of my comfort zone and helped me discover that you don’t have to be good at something to continue doing it.,Campus Voices,https://www.dukechronicle.com/article/2024/09/091924-garbelotto-new-to-the-game
Just a coffee isn’t breakfast: Freshmen need better meal equivalency  ,Kate Yeonjae-Jeong,2024-09-19,"With the current equivalency rate, students cannot buy a sandwich or even a cup of fruit without going over the price limit. If you want to add coffee or even water to a breakfast pastry, you're way out of the equivalency range, and will have to pay out of pocket with food points. At that rate, it’s not too difficult to quickly run through your food points, making it an unsustainable design for students. ",Campus Voices,https://www.dukechronicle.com/article/2024/09/091924-jeong-freshman-meal-equivalency
Democracy as competitive cooperation,Michael Tomasello,2024-09-19,"Democracy often seems like unfriendly competition, with all its arguing, partisanship and mean-spirited attack ads. But underneath the rancor, democracy actually depends on a basic infrastructure of human cooperation.",Campus Voices,https://www.dukechronicle.com/article/2024/09/091924-tomasello-democracy-cooperative-competition
"The kangaroo or the eagle: How independence, networking and the college experience differ across continents",Annie Ming Kowalik,2024-09-18,"As a visiting international student from the University of New South Wales (UNSW) in Sydney, Australia, Duke has been the adventure of a lifetime. Yet, I’ve become acutely aware that while all universities aim to educate and mentor capable, confident students, they approach this goal with very different ideologies.",Campus Voices,https://www.dukechronicle.com/article/2024/09/091824-ming-kowalik-kangaroo-and-eagle
Why law abiding young people should cherish the rule of law,David Schanzer,2024-09-17,"At its most fundamental, the rule of law is a core restraint on the exercise of governmental power. The rule of law requires that when the government affects the citizenry, it must act consistent with a set of preexisting rules put in place by democratically elected bodies accountable to the people.",Campus Voices,https://www.dukechronicle.com/article/2024/09/091724-schanzer-cherish-rule-of-law
 Failure is the only option,Aaron Siegle,2024-09-16,"If failure is both cataclysmic and ubiquitous, then how can any gains ever be realized?",Campus Voices,https://www.dukechronicle.com/article/2024/09/091624-siegle
Drag science and the slaying of nerd aesthetic,Nik Narain,2024-09-14,"If the goal of SciComm is not just to improve the dissemination of scientific information, but to promote excitement and engagement for science itself, what better way to do that than through drag, which enables performers to celebrate science on such a personal level?",Campus Voices,https://www.dukechronicle.com/article/2024/09/091424-narain-drag-science
The new social contract that permeates Duke student life,Zubin Rekhi,2024-09-13,"As the university went from being a neutral facilitator, taking a hands-off approach to all student actions clearing the low bar of safety, to an active participant with veto power over student choices, it also used its expanded powers — in ways intentional or not — to extend benefits to students. But college students are adults and we should make our choices, even in the midst of an evolving and enlarging university apparatus.",Campus Voices,https://www.dukechronicle.com/article/2024/09/091324-rekhi-new-social-contract
Why you should read below your reading level,Anna Garziera,2024-09-13,Few of us have kept up the daily 30 minutes of independent reading since middle school. And no wonder. There’s no surefire way of letting go of the habit of reading than forcibly plowing through a book you don’t like. ,Campus Voices,https://www.dukechronicle.com/article/2024/09/091324-garziera-read-below-level
Staying back: On first semester junior year,Advikaa Anand,2024-09-11,"I searched the multitude of people scattered around the quad on the first day of class, hoping for a glimpse of recognition. All I saw, however, was a sea of strangers, and a hollow emptiness developed in the pit of my stomach. Where was I? Who were these people? What had happened to the place I’d called home for the last two years?",Campus Voices,https://www.dukechronicle.com/article/2024/09/091124-anand-staying-back
Your first learning assignment: College roommates ,Sarah Gaither,2024-09-10,"I walked into my room and my roommate wasn’t there, but her things were all moved in — an organized desk, a neatly made bed with monogrammed blankets, a full-sized Texas state flag hung on the wall and a framed family photo of her with former President George Bush.",Campus Voices,https://www.dukechronicle.com/article/2024/09/091024-gaither-college-roommates
"Racism, fatphobia and child labor: Duke welcomes Lululemon with open arms",Felix Jones,2024-09-09,"If Duke was aware of these glaring issues, I am mortified that a deeply ingrained culture of exclusion, misogyny and unethical labor practices is less important than profit margins. It is morally reprehensible that increased revenue at the University Store warrants welcoming this company onto campus in the face of such clear affronts to Duke’s values.",Opinion,https://www.dukechronicle.com/article/2024/09/090924-jones-lululemon-racism-duke
The courage to be curious,Luke A. Powery,2024-09-09,"Engaging in research at a major university like Duke is a key mechanism for discovery. Having to do research implies that one doesn’t have all of the information but desires to learn more. The practice of research in any field is a way of saying, “I don’t know, but I want to know.” ",Campus Voices,https://www.dukechronicle.com/article/2024/09/090924-powery-courage-be-curious
Duke must do more to protect student voting rights,"Amaia Clayton , Olivia Schramkowski and Gunther Peck",2024-09-05,"If the DukeCard office printed the new DukeCards preemptively, there would be no delays in getting the key ID students need to prove their residency and to vote in Durham, and less likelihood that they will end up casting provisional ballots. ",Opinion,https://www.dukechronicle.com/article/2024/09/090524-schramkowski-clayton-peck-duke-must-protect-voting-rights
Wrong about me and wrongheaded about Duke,Doriane Coleman,2024-09-04,"Disagreement should be informed, accurate and respectful — and the suppression of different viewpoints on the important issues of the day has no place in a thriving university.",Opinion,https://www.dukechronicle.com/article/2024/09/090424-coleman-wrong-about-me
Have the news media learned to cover a female presidential candidate? Democracy’s future may depend on the answer,Philip M. Napoli and Talia Goodman,2024-09-03,"As Kamala Harris takes her next steps as the Democratic nominee, the news media's ability to provide unbiased coverage will be a litmus test for how far we've come — or how far we have yet to go — in achieving gender equality in politics. ",Campus Voices,https://www.dukechronicle.com/article/2024/09/090324-napoli-goodman-cover-female-president
