STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,METHODOLOGY,Methodology,MEASURE,Measure,UNIT_MEASURE,Unit of measure,EXPENDITURE,Expenditure,ADJUSTMENT,Adjustment,TRANSFORMATION,Transformation,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,BASE_PER,Base period,DURABILITY,Durability,DECIMALS,Decimals
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),"Consumer price indices (CPIs, HICPs), COICOP 1999",I,USA,United States,A,Annual,N,National,CPI,Consumer price index,PA,Percent per annum,CP08,Communication,N,Neither seasonally adjusted nor calendar adjusted,GY,"Growth rate, over 1 year",2018,,-1.265205,,A,Normal value,,,,,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),"Consumer price indices (CPIs, HICPs), COICOP 1999",I,USA,United States,A,Annual,N,National,CPI,Consumer price index,PA,Percent per annum,CP08,Communication,N,Neither seasonally adjusted nor calendar adjusted,GY,"Growth rate, over 1 year",2017,,-5.483102,,A,Normal value,,,,,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),"Consumer price indices (CPIs, HICPs), COICOP 1999",I,USA,United States,A,Annual,N,National,CPI,Consumer price index,PA,Percent per annum,CP08,Communication,N,Neither seasonally adjusted nor calendar adjusted,GY,"Growth rate, over 1 year",2016,,-0.5506312,,A,Normal value,,,,,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),"Consumer price indices (CPIs, HICPs), COICOP 1999",I,USA,United States,A,Annual,N,National,CPI,Consumer price index,PA,Percent per annum,CP08,Communication,N,Neither seasonally adjusted nor calendar adjusted,GY,"Growth rate, over 1 year",2015,,-1.700052,,A,Normal value,,,,,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),"Consumer price indices (CPIs, HICPs), COICOP 1999",I,USA,United States,A,Annual,N,National,CPI,Consumer price index,PA,Percent per annum,CP08,Communication,N,Neither seasonally adjusted nor calendar adjusted,GY,"Growth rate, over 1 year",2014,,-0.04913678,,A,Normal value,,,,,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),"Consumer price indices (CPIs, HICPs), COICOP 1999",I,USA,United States,A,Annual,N,National,CPI,Consumer price index,PA,Percent per annum,CP08,Communication,N,Neither seasonally adjusted nor calendar adjusted,GY,"Growth rate, over 1 year",2013,,0.2206017,,A,Normal value,,,,,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),"Consumer price indices (CPIs, HICPs), COICOP 1999",I,USA,United States,A,Annual,N,National,CPI,Consumer price index,PA,Percent per annum,CP08,Communication,N,Neither seasonally adjusted nor calendar adjusted,GY,"Growth rate, over 1 year",2012,,0.4471165,,A,Normal value,,,,,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),"Consumer price indices (CPIs, HICPs), COICOP 1999",I,USA,United States,A,Annual,N,National,CPI,Consumer price index,PA,Percent per annum,CP08,Communication,N,Neither seasonally adjusted nor calendar adjusted,GY,"Growth rate, over 1 year",2011,,-0.8511271,,A,Normal value,,,,,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),"Consumer price indices (CPIs, HICPs), COICOP 1999",I,USA,United States,A,Annual,N,National,CPI,Consumer price index,PA,Percent per annum,CP08,Communication,N,Neither seasonally adjusted nor calendar adjusted,GY,"Growth rate, over 1 year",2023,,0.180603,,A,Normal value,,,,,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),"Consumer price indices (CPIs, HICPs), COICOP 1999",I,USA,United States,A,Annual,N,National,CPI,Consumer price index,PA,Percent per annum,CP08,Communication,N,Neither seasonally adjusted nor calendar adjusted,GY,"Growth rate, over 1 year",2022,,-0.4300501,,A,Normal value,,,,,,,2,Two
