First Name,Last Name,Sport,Hometown City,Hometown State,Gender,Event
Brandon,Dickson,Baseball,Prattville,Alabama,Male,Baseball
David,Robertson,Baseball,Tuscaloosa,Alabama,Male,Baseball
James,Hall,Shooting,Anniston,Alabama,Male,10m Air Pistol Men
Sandra,Uptagrafft,Shooting,Phenix City,Alabama,Female,"10m Air Pistol Women, 25m Pistol Women"
Haylie,McCleney,Softball (Women),Morris,Alabama,Female,Softball
Paige,Madden,Swimming,Mobile,Alabama,Female,W 400m Freestyle
Zach,Harting,Swimming,Madison,Alabama,Male,M 200m Butterfly
JuVaughn,Harrison,Track and Field,Huntsville,Alabama,Male,"M High Jump, M Long Jump"
Quanesha,Burks,Track and Field,Harselle,Alabama,Female,W Long Jump
Alev,Kelter,Rugby (Women),Eagle River,Alaska,Female,Rugby (Women)
Lydia,Jacoby,Swimming,Seward,Alaska,Female,W 100m Breaststroke
Brady,Ellison,Archery,Globe,Arizona,Male,"M Individual, M Team"
Jamie,Westbrook,Baseball,Chandler,Arizona,Male,Baseball
Brandon,McNulty,Cycling,Phoenix,Arizona,Male,"M Individual Time Trial, M Road Race"
Corben,Sharrah,Cycling,Tucson,Arizona,Male,Men - BMX
Delaney,Schnell,Diving,Tucson,Arizona,Female,"W 10m Platform, W Sync 10m Platform"
Jade,Carey,Gymnastic (Artistic),Phoenix,Arizona,Female,Gymnastic (Artistic) Women
Mykayla,Skinner,Gymnastic (Artistic),Gilbert,Arizona,Female,Gymnastic (Artistic) Women
Brett,Thompson,Rugby (Men),Tempe,Arizona,Male,Rugby (Men)
Maceo,Brown,Rugby (Men),Tempe,Arizona,Male,Rugby (Men)
Alana,Smith,Skateboarding,Mesa,Arizona,Female,W Street
Jagger,Eaton,Skateboarding,Mesa,Arizona,Male,M Street
Julie,Ertz,Soccer (Women),Mesa,Arizona,Female,Soccer (Women)
Bethanie,Mattek-Sands,Tennis,Phoenix,Arizona,Female,W Doubles
Abdi,Abdirahman,Track and Field,Tucson,Arizona,Male,M Marathon
Aliphine,Tuliamuk,Track and Field,Flagstaff,Arizona,Female,W Marathon
Will,Claye,Track and Field,Phoenix,Arizona,Male,M Triple Jump
Sarah,Sponcil,Volleyball (Beach),Phoenix,Arizona,Female,Volleyball (Beach) Women
Kayla,Miracle,Wrestling,Phoenix,Arizona,Female,W Freestyle 62kg
Kayle,Browning,Shooting,Wooster,Arkansas,Female,Trap Women
Tara,Davis,Track and Field,Fayetteville,Arkansas,Female,W Long Jump
Jack,Williams,Archery,Chula Vista,California,Male,"M Individual, M Team"
Phillip,Chew,Badminton,Orange,California,Male,M Doubles
Ryan,Chew,Badminton,Orange,California,Male,M Doubles
Timothy,Lam,Badminton,Mountain View,California,Male,M Singles
Anthony,Gose,Baseball,Bellflower,California,Male,Baseball
Eric,Filia,Baseball,Huntington Beach,California,Male,Baseball
Joe,Ryan,Baseball,San Francisco,California,Male,Baseball
Nick,Allen,Baseball,San Diego,California,Male,Baseball
Katie Lou,Samuelson,Basketball (3x3),Huntington Beach,California,Female,Basketball (3x3) (Women)
Kelsey,Plum,Basketball (3x3),Poway,California,Female,Basketball (3x3) (Women)
Damian,Lillard,Basketball (Men),Oakland,California,Male,Basketball (Men)
Jrue,Holiday,Basketball (Men),Los Angeles,California,Male,Basketball (Men)
Kevin,Love,Basketball (Men),Santa Monica,California,Male,Basketball (Men)
Chelsea,Gray,Basketball (Women),Hayward,California,Female,Basketball (Women)
Diana,Taurasi,Basketball (Women),Chino,California,Female,Basketball (Women)
Richard,Torrez,Boxing,Tulare,California,Male,M Super Heavy (+91kg)
Amber,Neben,Cycling,Lake Forest,California,Female,W Individual Time Trial
Coryn,Rivera,Cycling,Newport Beach,California,Female,W Road Race
Gavin,Hoover,Cycling,Manhattan Beach,California,Male,"M Madison, M Omnium"
Haley,Batten,Cycling,Los Gatos,California,Female,W Cross-country - MTB
Jennifer,Valente,Cycling,San Diego,California,Female,"W Madison, W Omnium, W Team Pursuit"
Kate,Courtney,Cycling,Kentfield,California,Female,W Cross-country - MTB
Leah,Thomas,Cycling,Boulder Creek,California,Female,W Road Race
Megan,Jastrab,Cycling,Apple Valley,California,Female,W Madison
Ruth,Winder,Cycling,Lafayette,California,Female,W Road Race
Brandon,Loschiavo,Diving,Huntington Beach,California,Male,M 10m Platform
Sabine,Schut-Kery,Equestrian,Thousand Oaks,California,Female,"Dressage Individual, Dressage Team"
Steffen,Peters,Equestrian,San Diego,California,Female,"Dressage Individual, Dressage Team"
Alexander,Massialas,Fencing,San Francisco,California,Male,"M Foil Individual, M Foil Team"
