advfront,polviews,educ
Agree,Liberal,16
NA,Slightly conservative,18
NA,Moderate,12
Agree,Extremely liberal,16
Agree,Slightly conservative,14
NA,Moderate,12
NA,Slightly liberal,12
NA,Extremely liberal,16
NA,Slightly liberal,12
NA,Moderate,12
Strongly agree,Moderate,13
NA,NA,16
NA,Moderate,12
NA,Moderate,12
NA,Conservative,13
NA,Liberal,14
NA,Conservative,13
Agree,Slightly liberal,16
Strongly agree,Moderate,11
NA,Conservative,12
Agree,Conservative,10
Agree,Extremely conservative,12
Strongly agree,Conservative,16
Agree,Slightly liberal,14
Agree,Moderate,13
Disagree,Extremely conservative,12
Strongly agree,Liberal,12
NA,Moderate,12
NA,Moderate,16
NA,Extremely conservative,12
NA,Moderate,14
NA,Moderate,12
NA,Extremely liberal,12
NA,Slightly liberal,16
NA,Moderate,13
NA,Slightly liberal,14
NA,Extremely conservative,15
NA,Moderate,12
NA,Moderate,16
Agree,Moderate,13
Agree,Moderate,16
Strongly agree,Liberal,15
Strongly agree,Liberal,16
NA,Moderate,18
NA,Moderate,14
NA,Liberal,17
NA,Slightly liberal,12
NA,Conservative,16
NA,Slightly liberal,19
NA,Moderate,14
NA,Liberal,16
Strongly agree,Liberal,16
NA,Slightly conservative,16
Strongly agree,Slightly liberal,12
NA,Liberal,12
Agree,Moderate,14
NA,NA,14
NA,Liberal,13
NA,Slightly conservative,14
NA,Slightly liberal,12
NA,Moderate,10
NA,Conservative,12
NA,Conservative,9
NA,Slightly conservative,4
NA,Extremely conservative,8
NA,Extremely liberal,12
NA,Moderate,16
NA,Extremely liberal,15
Disagree,Slightly liberal,17
NA,Moderate,12
NA,Moderate,12
Disagree,Moderate,14
NA,Moderate,16
Agree,NA,9
Strongly agree,Liberal,18
NA,NA,12
NA,NA,9
NA,Moderate,20
Agree,Slightly conservative,12
Strongly agree,NA,17
NA,Moderate,16
NA,Liberal,14
NA,Extremely liberal,15
NA,Moderate,15
NA,Liberal,18
NA,Liberal,20
Strongly agree,Liberal,15
NA,Slightly liberal,16
NA,Liberal,16
NA,Liberal,17
NA,Liberal,16
Strongly agree,Slightly liberal,15
NA,Moderate,12
Agree,Liberal,16
NA,Liberal,16
NA,Liberal,16
NA,Moderate,16
Strongly agree,Moderate,14
NA,Slightly liberal,16
NA,Moderate,16
NA,Moderate,14
Agree,Moderate,16
Strongly agree,Moderate,14
NA,Slightly conservative,16
NA,Conservative,16
Strongly agree,Conservative,18
Strongly agree,Moderate,16
NA,Moderate,17
NA,Conservative,13
NA,Moderate,15
Strongly agree,Conservative,16
NA,Slightly liberal,12
NA,Liberal,15
Strongly agree,Liberal,16
NA,Liberal,15
NA,Slightly conservative,12
NA,Moderate,12
Strongly agree,Moderate,16
NA,Slightly liberal,9
Agree,Extremely liberal,14
NA,Slightly conservative,12
NA,Moderate,14
Disagree,Conservative,16
NA,Slightly liberal,9
NA,Liberal,12
Strongly agree,Moderate,16
NA,Extremely liberal,16
NA,Moderate,12
NA,Moderate,16
Agree,Extremely liberal,18
NA,Moderate,18
NA,Slightly liberal,18
NA,Slightly conservative,17
NA,Liberal,12
NA,Slightly liberal,11
NA,Slightly liberal,12
NA,Moderate,14
NA,Moderate,12
NA,Liberal,16
Strongly agree,Liberal,16
Agree,Conservative,19
NA,Extremely liberal,16
NA,Moderate,18
NA,Moderate,16
Strongly agree,Moderate,14
NA,NA,14
Strongly agree,NA,16
Agree,Moderate,16
NA,NA,16
NA,Slightly liberal,18
NA,Moderate,11
NA,Conservative,10
Strongly agree,Moderate,18
NA,Liberal,13
Agree,Conservative,12
Agree,Slightly liberal,16
NA,Slightly liberal,12
Strongly agree,Slightly conservative,17
Agree,Conservative,16
NA,Slightly conservative,12
NA,Moderate,19
NA,NA,16
Agree,Moderate,17
NA,Extremely conservative,20
Agree,Slightly conservative,12
NA,Liberal,18
NA,Slightly conservative,16
NA,Moderate,12
NA,Slightly conservative,18
NA,Conservative,13
Strongly agree,Liberal,20
Strongly agree,Moderate,16
NA,Slightly liberal,16
NA,Slightly conservative,15
NA,Extremely liberal,16
Agree,Moderate,14
NA,Moderate,16
Agree,Moderate,16
Agree,Slightly conservative,13
NA,Moderate,12
Disagree,Slightly conservative,3
NA,Slightly liberal,18
NA,Moderate,16
NA,Moderate,12
NA,Moderate,16
NA,Moderate,16
Agree,Moderate,12
Agree,Slightly conservative,16
NA,Moderate,12
Agree,Slightly conservative,18
Strongly agree,Slightly liberal,18
NA,Slightly liberal,18
NA,Moderate,18
NA,Extremely liberal,16
NA,Moderate,12
Agree,Slightly liberal,20
Strongly agree,Liberal,16
Agree,Moderate,18
NA,Moderate,16
NA,Slightly liberal,13
NA,Slightly conservative,16
NA,Liberal,17
NA,Slightly liberal,16
NA,Liberal,16
Strongly agree,Slightly liberal,16
Agree,Slightly liberal,18
Strongly agree,Moderate,19
Agree,Moderate,14
Strongly agree,Slightly conservative,17
Agree,Slightly conservative,14
Strongly agree,Slightly liberal,17
NA,NA,14
NA,Slightly conservative,17
NA,Moderate,12
NA,Extremely liberal,11
NA,Conservative,15
NA,Moderate,3
NA,Conservative,12
NA,NA,16
NA,Liberal,15
NA,Moderate,14
NA,Moderate,14
NA,Slightly liberal,0
Disagree,Moderate,17
Agree,Moderate,15
Strongly agree,Moderate,13
NA,Liberal,16
NA,Liberal,16
NA,Slightly liberal,16
Agree,Conservative,19
Strongly agree,Moderate,12
NA,Slightly liberal,16
NA,Liberal,14
Strongly agree,Slightly liberal,17
NA,Conservative,6
NA,Extremely liberal,16
NA,Moderate,16
NA,Moderate,14
Strongly agree,Extremely liberal,17
NA,Slightly liberal,12
NA,NA,12
Agree,Slightly liberal,15
NA,Moderate,20
NA,Slightly liberal,12
NA,Moderate,16
Agree,Moderate,15
NA,Liberal,3
Strongly agree,Moderate,15
NA,Slightly conservative,7
NA,Moderate,11
NA,Slightly conservative,11
NA,Conservative,7
NA,Liberal,16
Strongly agree,Moderate,12
NA,Conservative,6
NA,Moderate,14
NA,Moderate,15
Agree,Moderate,12
Strongly agree,Liberal,18
NA,Conservative,17
NA,Slightly liberal,13
NA,NA,11
NA,NA,13
NA,Liberal,20
NA,Moderate,17
NA,Moderate,12
Strongly agree,Liberal,20
Agree,Liberal,16
NA,NA,13
Strongly agree,Extremely liberal,16
Strongly agree,Slightly conservative,19
NA,Liberal,20
NA,Liberal,18
Strongly agree,Extremely liberal,13
NA,Moderate,20
NA,Extremely conservative,9
Strongly agree,Slightly conservative,16
Strongly agree,Liberal,14
NA,Moderate,14
NA,Moderate,19
NA,Slightly liberal,14
NA,Moderate,15
NA,Slightly liberal,12
Agree,Slightly liberal,15
NA,Slightly liberal,14
NA,Slightly liberal,16
NA,Conservative,12
Strongly agree,Liberal,18
NA,Conservative,12
NA,Conservative,14
NA,Conservative,12
NA,Moderate,20
Strongly agree,Slightly conservative,8
NA,Slightly liberal,16
NA,Moderate,12
NA,Slightly conservative,12
NA,Moderate,17
NA,Slightly conservative,16
NA,Moderate,11
NA,Moderate,12
Disagree,Slightly conservative,16
Strongly agree,Slightly liberal,15
Strongly agree,Conservative,17
NA,Moderate,12
Agree,Moderate,13
NA,Slightly liberal,12
NA,Liberal,6
Strongly agree,Extremely liberal,12
NA,Conservative,16
NA,Moderate,12
NA,Slightly liberal,12
Agree,Conservative,17
Strongly agree,Liberal,16
Agree,Slightly conservative,16
Strongly agree,NA,9
Agree,Slightly liberal,11
NA,Conservative,12
NA,Moderate,16
NA,Slightly conservative,12
NA,Extremely liberal,16
NA,Liberal,16
NA,Moderate,14
NA,Moderate,12
Agree,Moderate,12
NA,Moderate,12
Agree,Moderate,18
NA,Moderate,11
Strongly agree,Liberal,16
NA,Slightly conservative,14
NA,Liberal,16
Agree,Liberal,12
NA,Liberal,6
NA,Slightly conservative,16
NA,Moderate,11
NA,Moderate,15
Agree,Extremely liberal,12
Strongly agree,Liberal,16
Strongly agree,Slightly conservative,12
Disagree,Slightly liberal,10
Disagree,Extremely conservative,16
Agree,Moderate,17
NA,Slightly conservative,14
NA,Slightly liberal,14
Agree,Slightly conservative,13
NA,Extremely liberal,14
NA,Slightly conservative,10
NA,Extremely conservative,6
NA,Slightly conservative,14
NA,Moderate,12
NA,Liberal,14
NA,Conservative,12
Agree,Moderate,19
NA,Moderate,13
NA,Moderate,12
NA,Moderate,12
NA,Liberal,16
Agree,Conservative,16
NA,Liberal,16
NA,Liberal,18
Strongly agree,Liberal,17
NA,Liberal,14
NA,Liberal,18
Strongly agree,Moderate,12
NA,Conservative,10
NA,Slightly liberal,12
NA,Moderate,12
Agree,NA,12
NA,NA,16
NA,Liberal,16
Agree,Extremely liberal,12
NA,Conservative,14
Strongly agree,Liberal,16
Strongly agree,Liberal,14
NA,Moderate,11
NA,Conservative,9
Strongly agree,Moderate,12
NA,Conservative,16
NA,Extremely conservative,12
NA,Conservative,18
NA,Extremely conservative,12
Strongly agree,Slightly liberal,18
Disagree,Slightly conservative,16
NA,Moderate,16
Strongly agree,Liberal,17
Agree,Slightly conservative,12
Strongly agree,Slightly liberal,19
Agree,Slightly conservative,14
NA,Moderate,16
Agree,Conservative,16
Agree,Conservative,18
NA,Moderate,12
Agree,Moderate,13
NA,Slightly conservative,12
Agree,Moderate,16
NA,Moderate,12
NA,Extremely liberal,13
NA,Liberal,12
Agree,Moderate,14
NA,Conservative,14
NA,Moderate,14
Agree,Moderate,16
NA,Slightly conservative,6
Disagree,Moderate,12
Agree,Conservative,14
NA,Moderate,8
NA,Slightly conservative,12
NA,Slightly conservative,14
Strongly agree,Extremely conservative,9
NA,Extremely conservative,12
NA,Slightly conservative,12
NA,Conservative,12
NA,Conservative,12
NA,Moderate,16
Strongly agree,Liberal,16
NA,Liberal,16
Strongly agree,Liberal,16
Agree,Slightly conservative,14
NA,Slightly liberal,14
NA,Liberal,16
NA,Moderate,20
Agree,Conservative,18
NA,Moderate,18
NA,Moderate,12
Agree,Slightly conservative,14
Strongly agree,Moderate,15
Strongly agree,Moderate,12
Strongly agree,Moderate,20
NA,Conservative,16
NA,Conservative,17
NA,Conservative,17
NA,Conservative,16
Agree,Moderate,16
NA,Moderate,12
Agree,Slightly liberal,16
NA,Conservative,16
Agree,Conservative,14
Strongly agree,Extremely liberal,13
NA,Moderate,12
NA,Conservative,13
Strongly agree,Conservative,16
Agree,Moderate,12
NA,Slightly liberal,17
NA,NA,NA
NA,Liberal,15
NA,Slightly conservative,12
Strongly agree,Liberal,12
Strongly agree,Liberal,16
NA,Slightly liberal,18
Agree,Slightly liberal,18
NA,Slightly conservative,14
NA,Moderate,12
NA,Moderate,14
NA,Slightly conservative,16
NA,Moderate,14
NA,Extremely liberal,17
NA,Moderate,14
NA,Moderate,20
Strongly agree,Moderate,18
Agree,Moderate,16
NA,Slightly conservative,15
NA,NA,20
NA,Moderate,16
NA,Moderate,13
Strongly agree,Liberal,20
NA,NA,NA
NA,Moderate,8
NA,Extremely conservative,12
NA,Liberal,15
Agree,Slightly conservative,18
NA,Moderate,14
NA,Liberal,16
Agree,Slightly conservative,16
Agree,Moderate,15
NA,Moderate,12
Agree,Slightly liberal,16
Agree,Extremely liberal,15
NA,Slightly conservative,16
NA,Moderate,17
NA,Liberal,12
NA,Liberal,16
Strongly agree,Slightly conservative,18
Agree,Slightly liberal,20
NA,Liberal,19
Strongly agree,Extremely liberal,12
Strongly agree,Extremely liberal,19
NA,Liberal,12
Strongly agree,Slightly conservative,20
NA,Slightly liberal,16
NA,NA,12
Agree,Moderate,16
Strongly agree,Conservative,14
NA,Slightly conservative,20
NA,Liberal,14
NA,Moderate,16
NA,Moderate,12
NA,NA,12
NA,Moderate,15
NA,Conservative,12
Agree,Moderate,12
NA,Slightly conservative,20
NA,Slightly conservative,16
NA,Liberal,16
NA,Moderate,12
NA,Slightly conservative,9
Agree,Slightly liberal,20
Strongly agree,Moderate,20
NA,Liberal,18
