taxon,dlc_id,hybrid,sex,name,current_resident,stud_book,dob,birth_month,estimated_dob,birth_type,birth_institution,litter_size,expected_gestation,estimated_concep,concep_month,dam_id,dam_name,dam_taxon,dam_dob,dam_age_at_concep_y,sire_id,sire_name,sire_taxon,sire_dob,sire_age_at_concep_y,dod,age_at_death_y,age_of_living_y,age_last_verified_y,age_max_live_or_dead_y,n_known_offspring,dob_estimated,weight_g,weight_date,month_of_weight,age_at_wt_d,age_at_wt_wk,age_at_wt_mo,age_at_wt_mo_no_dec,age_at_wt_y,change_since_prev_wt_g,days_since_prev_wt,avg_daily_wt_change_g,days_before_death,r_min_dam_age_at_concep_y,age_category,preg_status,expected_gestation_d,concep_date_if_preg,infant_dob_if_preg,days_before_inf_birth_if_preg,pct_preg_remain_if_preg,infant_lit_sz_if_preg
EMON,1193,N,M,BILLY,N,5,1964-10-01,10,Y,WB,Unknown Location,NA,127,1964-05-27,5,WILD,NA,NA,NA,NA,WILD,NA,NA,NA,NA,NA,NA,NA,15.64,15.64,NA,Y,2330,1978-11-01,11,5144,734.86,169.12,169,14.09,NA,NA,NA,NA,1.76,adult,NP,NA,NA,NA,NA,NA,NA
EMON,1195,N,F,FLO,N,6,1964-10-01,10,Y,WB,Unknown Location,NA,127,1964-05-27,5,WILD,NA,NA,NA,NA,WILD,NA,NA,NA,NA,1980-03-15,15.46,NA,NA,15.46,NA,Y,1407,1978-11-01,11,5144,734.86,169.12,169,14.09,NA,NA,NA,500,1.76,adult,NP,NA,NA,NA,NA,NA,NA
LCAT,1552,N,F,MAY,N,456,1974-03-18,3,NA,CB,Duke Lemur Center,1,138,1973-10-31,10,585,CALPURNIA,LCAT,1971-03-15,2.63,MULT2,NA,NA,NA,NA,NA,NA,NA,2.34,2.34,NA,NA,135,1974-04-03,4,16,2.29,0.53,0,0.04,NA,NA,NA,NA,1.32,IJ,NP,NA,NA,NA,NA,NA,NA
LCAT,1553,N,F,BALIN-A,N,457,1974-03-18,3,NA,CB,Duke Lemur Center,1,138,1973-10-31,10,546,BALIN,LCAT,1968-12-18,4.87,MULT2,NA,NA,NA,NA,1974-04-08,0.06,NA,NA,0.06,NA,NA,155,1974-04-03,4,16,2.29,0.53,0,0.04,NA,NA,NA,5,1.32,IJ,NP,NA,NA,NA,NA,NA,NA
LCAT,1570,N,M,LENT,N,471,1974-04-19,4,NA,CB,Duke Lemur Center,1,138,1973-12-02,12,1509,RIMA,LCAT,1972-01-14,1.88,555,ALCIBIADES,LCAT,1967-04-19,6.63,NA,NA,NA,7.02,7.02,5,NA,1226,1974-10-03,10,167,23.86,5.49,5,0.46,NA,NA,NA,NA,1.32,IJ,NP,NA,NA,NA,NA,NA,NA
LCAT,1585,N,M,PLATO,N,482,1974-06-28,6,NA,CB,Duke Lemur Center,1,138,1974-02-10,2,528,XANTIPPE,LCAT,1959-09-01,14.45,MULT2,NA,NA,NA,NA,NA,NA,NA,2.06,2.06,NA,NA,157,1974-07-12,7,14,2,0.46,0,0.04,NA,NA,NA,NA,1.32,IJ,NP,NA,NA,NA,NA,NA,NA
EMON,2381,N,F,DIDI,N,7,1966-05-19,5,U,WB,Unknown Location,NA,127,1966-01-12,1,WILD,NA,NA,NA,NA,WILD,NA,NA,NA,NA,NA,NA,NA,14.01,14.01,NA,U,1998,1978-11-01,11,4549,649.86,149.56,149,12.46,NA,NA,NA,NA,1.76,adult,NP,NA,NA,NA,NA,NA,NA
LCAT,2501,N,F,OCTAVE,N,493,1975-03-12,3,NA,CB,Duke Lemur Center,1,138,1974-10-25,10,585,CALPURNIA,LCAT,1971-03-15,3.62,584,CATO,LCAT,1971-03-15,3.62,NA,NA,NA,1.36,1.36,NA,NA,164,1975-04-01,4,20,2.86,0.66,0,0.05,NA,NA,NA,NA,1.32,IJ,NP,NA,NA,NA,NA,NA,NA
LCAT,2502,N,M,BALIN-B,N,495,1975-03-17,3,NA,CB,Duke Lemur Center,1,138,1974-10-30,10,546,BALIN,LCAT,1968-12-18,5.87,584,CATO,LCAT,1971-03-15,3.63,1975-03-18,0,NA,NA,0,NA,NA,56,1975-03-18,3,1,0.14,0.03,0,0,NA,NA,NA,0,1.32,IJ,NP,NA,NA,NA,NA,NA,NA
LCAT,2504,N,F,NICIAS,N,496,1975-03-23,3,NA,CB,Duke Lemur Center,1,138,1974-11-05,11,1510,KAMALA,LCAT,1972-01-15,2.81,555,ALCIBIADES,LCAT,1967-04-19,7.55,1991-02-12,15.9,NA,NA,15.9,1,NA,83,1975-03-25,3,2,0.29,0.07,0,0.01,NA,NA,NA,5803,1.32,IJ,NP,NA,NA,NA,NA,NA,NA
