Timestamp,How many classes do you have on Tuesdays?,What year are you?
9/23/24 19:57,2,Sophomore
9/23/24 19:58,3,First-year
9/23/24 20:06,2,Sophomore
9/23/24 20:09,2,Sophomore
9/23/24 21:48,0,Senior
9/24/24 9:44,2,First-year
9/24/24 10:15,2,Senior
9/24/24 10:50,2,Sophomore
9/24/24 10:54,3,First-year
9/24/24 11:08,2,Senior
9/24/24 11:15,Just this one!,Sophomore
9/24/24 11:24,2,First-year
9/24/24 11:27,0,Junior
9/24/24 11:33,3,Sophomore
9/24/24 11:33,STA199,First-year
9/24/24 11:34,3,Sophomore
9/24/24 11:35,2,Senior
9/24/24 11:35,1,First-year
9/24/24 11:36,2,Sophomore
9/24/24 11:36,2,Senior
9/24/24 11:37,3,Sophomore
9/24/24 11:37,2,Sophomore
9/24/24 11:37,2,Sophomore
9/24/24 11:37,3,Sophomore
9/24/24 11:38,3,Senior
9/24/24 11:38,3,First-year
9/24/24 11:38,4,Junior
9/24/24 11:38,3,Junior
9/24/24 11:38,3,Sophomore
9/24/24 11:38,2,First-year
9/24/24 11:38,2,First-year
9/24/24 11:38,2,First-year
9/24/24 11:38,2,First-year
9/24/24 11:38,3,First-year
9/24/24 11:38,3,Sophomore
9/24/24 11:39,2,Sophomore
9/24/24 11:39,3,Senior
9/24/24 11:39,2,Senior
9/24/24 11:39,3,Sophomore
9/24/24 11:39,3,Sophomore
9/24/24 11:39,3,Sophomore
9/24/24 11:39,4,Sophomore
9/24/24 11:39,3,Sophomore
9/24/24 11:39,,Sophomore
9/24/24 11:39,3,Sophomore
9/24/24 11:39,,First-year
9/24/24 11:39,3,Senior
9/24/24 11:40,4,Sophomore
9/24/24 11:40,3,Sophomore
9/24/24 11:40,2,First-year
9/24/24 11:40,3,Sophomore
9/24/24 11:40,3,Sophomore
9/24/24 11:41,2,Senior
9/24/24 11:41,1,First-year
9/24/24 11:41,3,Sophomore
9/24/24 11:41,2,First-year
9/24/24 11:41,4,First-year
9/24/24 11:42,3,Sophomore
9/24/24 11:42,3,First-year
9/24/24 11:42,2,First-year
9/24/24 11:42,2,First-year
