City,DateTime,Temperature,FeelsLike,Dew,Humidity,Precipitation,PrecipitationProbability,PrecipitationType,Snow,SnowDepth,WindGust,WindSpeed,WindDirection,SeaLevelPressure,CloudCover,Visibility,SolarRadiation,SolarEnergy,UVIndex,SevereRisk,Conditions,Icon,Stations
Omaha,2024-12-01T00:00:00,20.3,10.8,14.3,77.01,0,0,,0,0.08,3.4,7.8,349,1027.8,100,9.9,0,0,0,10,Overcast,cloudy,"F7499,KOFF,KMLE,KOMA,KCBF"
Omaha,2024-12-01T01:00:00,20.3,10.9,14.3,77.32,0,0,,0,0.08,3.4,7.5,353,1027.7,100,9.9,0,0,0,10,Overcast,cloudy,"F7499,KOFF,KMLE,KOMA,KCBF"
Omaha,2024-12-01T02:00:00,20.2,10,14.2,77,0,0,,0,0.08,3.4,8.6,8,1027.5,100,9.9,0,0,0,10,Overcast,cloudy,"F7499,KOFF,KMLE,KOMA,KCBF"
Omaha,2024-12-01T03:00:00,19.5,8.7,14.2,79.3,0,0,,0,0.08,4.7,9.4,348,1027.9,100,9.9,0,0,0,10,Overcast,cloudy,"F7499,KOFF,KMLE,KOMA,KCBF"
Omaha,2024-12-01T04:00:00,19.5,9.6,14.1,79.35,0,0,,0,0.08,4.7,8,357,1027.8,100,9.9,0,0,0,10,Overcast,cloudy,"F7499,KOFF,KMLE,KOMA,KCBF"
Omaha,2024-12-01T05:00:00,19.5,10.8,13.4,76.76,0,0,,0,0.08,5.8,6.6,350,1028.3,100,9.9,0,0,0,10,Overcast,cloudy,"F7499,KOFF,KMLE,KOMA,KCBF"
Omaha,2024-12-01T06:00:00,18.5,10.7,14.1,82.36,0,0,,0,0.12,4.7,5.5,3,1028.6,91.4,9.9,0,0,0,10,Overcast,cloudy,"F7499,KOFF,KMLE,KOMA,KCBF"
Omaha,2024-12-01T07:00:00,19.1,12.8,12.4,74.78,0,0,,0,0.12,4.7,4.3,357,1029.2,91.4,9.9,0,0,0,10,Overcast,cloudy,"F7499,KOFF,KMLE,KOMA,KCBF"
Omaha,2024-12-01T08:00:00,19.1,19.1,12.9,76.44,0,0,,0,0.12,4.7,2.9,5,1028.9,84.6,9.9,22,0.1,0,10,Partially cloudy,partly-cloudy-day,"F7499,KOFF,KMLE,KOMA,KCBF"
Omaha,2024-12-01T09:00:00,19.6,13.7,13.1,75.67,0,0,,0,0.12,4.7,4,4,1029.7,78.6,9.9,120,0.4,1,10,Partially cloudy,partly-cloudy-day,"F7499,KOFF,KMLE,KOMA,KCBF"
Omaha,2024-12-01T10:00:00,22.1,14.4,12,64.78,0,0,,0,0.12,2.2,6,360,1030.6,82.3,9.9,97,0.3,1,10,Partially cloudy,partly-cloudy-day,"F7499,KOFF,KMLE,KOMA,KCBF"
Omaha,2024-12-01T11:00:00,22.2,15.9,11,61.55,0,0,,0,0.12,2.2,4.7,10,1030.6,100,9.9,125,0.5,1,10,Overcast,cloudy,"F7499,KOFF,KMLE,KOMA,KCBF"
Omaha,2024-12-01T12:00:00,24.3,16.2,12,58.85,0,0,,0,0.08,3.4,7,349,1030.3,88.2,9.9,127,0.5,1,10,Partially cloudy,partly-cloudy-day,"F7499,KOFF,KMLE,KOMA,KCBF"
Omaha,2024-12-01T13:00:00,25.2,19,12.4,57.88,0,0,,0,0.08,3.4,5.1,5,1029.9,89.3,9.4,151,0.5,2,10,Partially cloudy,partly-cloudy-day,"F7499,KOFF,KMLE,KOMA,KCBF"
Omaha,2024-12-01T14:00:00,26.3,21,13.2,57.16,0,0,,0,0.08,5.8,4.4,14,1029.4,80.7,9.9,114,0.4,1,10,Partially cloudy,partly-cloudy-day,"F7499,KOFF,KMLE,KOMA,KCBF"
Omaha,2024-12-01T15:00:00,28.6,28.6,14,53.93,0,0,,0,0.08,3.4,0.8,6,1028.9,22.3,9.9,89,0.3,1,10,Partially cloudy,partly-cloudy-day,"F7499,KOFF,KMLE,KOMA,KCBF"
Omaha,2024-12-01T16:00:00,28,28,14,55.38,0,0,,0,0.08,2.2,0,0,1028.7,82.3,9.9,29,0.1,0,10,Partially cloudy,partly-cloudy-day,"F7499,KOFF,KMLE,KOMA,KCBF"
Omaha,2024-12-01T17:00:00,27.2,27.2,14.3,57.9,0,0,,0,0.08,4.7,0,0,1029.1,100,9.9,0,0,0,10,Overcast,cloudy,"F7499,KOFF,KMLE,KOMA,KCBF"
Omaha,2024-12-01T18:00:00,27.2,22.3,15.3,60.59,0,0,snow,0.2,0.08,2.2,4.2,14,1029.2,100,9.9,0,0,0,10,Overcast,cloudy,"F7499,KOFF,KMLE,KOMA,KCBF"
Omaha,2024-12-01T19:00:00,26.9,22.5,15.4,61.32,0,0,,0,0.08,3.4,3.7,25,1029,100,9.9,0,0,0,10,Overcast,cloudy,"F7499,KOFF,KMLE,KOMA,KCBF"
Omaha,2024-12-01T20:00:00,26.9,20.6,14.5,58.96,0,0,,0,0.08,2.2,5.6,16,1029.6,100,9.9,0,0,0,10,Overcast,cloudy,"F7499,KOFF,KMLE,KOMA,KCBF"
